country,sector,subsector,fuel,product,subfuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,ra,notes,ra_historic,issue_historic,description_historic,oecd,no_match,geo_change,fiscal_year,ex_ex
FRA,Non-specified other,,electricity,electricity,,combined sectors,1971,1991,,"Non-specified other consumption includes exports to Monaco prior to 1992 and defence-related activities, among others.",1,1,0,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
DEU,Non-specified other,,naturalgas,,,data availability,2003,2012,,"Since 2003, consumption in agriculture and nonspecified other, which were previously estimated, are no longer shown, and losses data have been included in statistical differences.",1,1,0,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
DEU,Agriculture,,naturalgas,,,data availability,2003,2012,,"Since 2003, consumption in agriculture and nonspecified other, which were previously estimated, are no longer shown, and losses data have been included in statistical differences.",1,1,0,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
ISL,Non-specified other,,electricity,electricity,,,2005,2012,,The consumption of electricity reported in nonspecified other corresponds to a NATO base at Keflavik airport which closed in 2005.,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
CAN,Agriculture,,electricity,,,methodology change,1971,1973,time series break,,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
EST,Agriculture,,electricity,,,methodology change,1971,2007,time series break,,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
EST,Forestry,,electricity,,,methodology change,1971,2007,time series break,,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
FRA,Agriculture,,electricity,,,methodology change,2004,2012,time series break,,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
NLD,Agriculture,,geothermal heat,,,real anomaly,2008,2012,time series break,Direct use of geothermal heat in agriculture/ forestry starting in 2008 is due to a new project extracting deep geothermal heat.,,,,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
DNK,Fishing,,oil,,,combined sectors,1971,1989,,"Prior to 1990, gas/diesel oil and fuel oil consumption for fishing are included in domestic navigation",1,1,0,,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
