ssp,model,year,discount_factor,rho,eta
SSP3,IIASA GDP,2011,0.5,1,0
SSP3,IIASA GDP,2012,0.25,1,0
SSP3,IIASA GDP,2013,0.125,1,0
SSP3,IIASA GDP,2014,0.0625,1,0
SSP3,IIASA GDP,2015,0.03125,1,0
SSP3,IIASA GDP,2016,0.015625,1,0
SSP3,IIASA GDP,2017,0.0078125,1,0
SSP3,IIASA GDP,2018,0.00390625,1,0
SSP3,IIASA GDP,2019,0.001953125,1,0
SSP3,IIASA GDP,2020,0.0009765625,1,0
SSP3,IIASA GDP,2021,0.00048828125,1,0
SSP3,IIASA GDP,2022,0.000244140625,1,0
SSP3,IIASA GDP,2023,0.0001220703125,1,0
SSP3,IIASA GDP,2024,6.103515625e-05,1,0
SSP3,IIASA GDP,2025,3.0517578125e-05,1,0
SSP3,IIASA GDP,2026,1.52587890625e-05,1,0
SSP3,IIASA GDP,2027,7.62939453125e-06,1,0
SSP3,IIASA GDP,2028,3.814697265625e-06,1,0
SSP3,IIASA GDP,2029,1.9073486328125e-06,1,0
SSP3,IIASA GDP,2030,9.5367431640625e-07,1,0
SSP3,IIASA GDP,2031,4.76837158203125e-07,1,0
SSP3,IIASA GDP,2032,2.384185791015625e-07,1,0
SSP3,IIASA GDP,2033,1.1920928955078125e-07,1,0
SSP3,IIASA GDP,2034,5.960464477539063e-08,1,0
SSP3,IIASA GDP,2035,2.9802322387695312e-08,1,0
SSP3,IIASA GDP,2036,1.4901161193847656e-08,1,0
SSP3,IIASA GDP,2037,7.450580596923828e-09,1,0
SSP3,IIASA GDP,2038,3.725290298461914e-09,1,0
SSP3,IIASA GDP,2039,1.862645149230957e-09,1,0
SSP3,IIASA GDP,2040,9.313225746154785e-10,1,0
SSP3,IIASA GDP,2041,4.656612873077393e-10,1,0
SSP3,IIASA GDP,2042,2.3283064365386963e-10,1,0
SSP3,IIASA GDP,2043,1.1641532182693481e-10,1,0
SSP3,IIASA GDP,2044,5.820766091346741e-11,1,0
SSP3,IIASA GDP,2045,2.9103830456733704e-11,1,0
SSP3,IIASA GDP,2046,1.4551915228366852e-11,1,0
SSP3,IIASA GDP,2047,7.275957614183426e-12,1,0
SSP3,IIASA GDP,2048,3.637978807091713e-12,1,0
SSP3,IIASA GDP,2049,1.8189894035458565e-12,1,0
SSP3,IIASA GDP,2050,9.094947017729282e-13,1,0
SSP3,IIASA GDP,2051,4.547473508864641e-13,1,0
SSP3,IIASA GDP,2052,2.2737367544323206e-13,1,0
SSP3,IIASA GDP,2053,1.1368683772161603e-13,1,0
SSP3,IIASA GDP,2054,5.684341886080802e-14,1,0
SSP3,IIASA GDP,2055,2.842170943040401e-14,1,0
SSP3,IIASA GDP,2056,1.4210854715202004e-14,1,0
SSP3,IIASA GDP,2057,7.105427357601002e-15,1,0
SSP3,IIASA GDP,2058,3.552713678800501e-15,1,0
SSP3,IIASA GDP,2059,1.7763568394002505e-15,1,0
SSP3,IIASA GDP,2060,8.881784197001252e-16,1,0
SSP3,IIASA GDP,2061,4.440892098500626e-16,1,0
SSP3,IIASA GDP,2062,2.220446049250313e-16,1,0
SSP3,IIASA GDP,2063,1.1102230246251565e-16,1,0
SSP3,IIASA GDP,2064,5.551115123125783e-17,1,0
SSP3,IIASA GDP,2065,2.7755575615628914e-17,1,0
SSP3,IIASA GDP,2066,1.3877787807814457e-17,1,0
SSP3,IIASA GDP,2067,6.938893903907228e-18,1,0
SSP3,IIASA GDP,2068,3.469446951953614e-18,1,0
SSP3,IIASA GDP,2069,1.734723475976807e-18,1,0
SSP3,IIASA GDP,2070,8.673617379884035e-19,1,0
SSP3,IIASA GDP,2071,4.336808689942018e-19,1,0
SSP3,IIASA GDP,2072,2.168404344971009e-19,1,0
SSP3,IIASA GDP,2073,1.0842021724855044e-19,1,0
SSP3,IIASA GDP,2074,5.421010862427522e-20,1,0
SSP3,IIASA GDP,2075,2.710505431213761e-20,1,0
SSP3,IIASA GDP,2076,1.3552527156068805e-20,1,0
SSP3,IIASA GDP,2077,6.776263578034403e-21,1,0
SSP3,IIASA GDP,2078,3.3881317890172014e-21,1,0
SSP3,IIASA GDP,2079,1.6940658945086007e-21,1,0
