,filtered_tau,ipt_ttmax500,ipt_ttmax100,ipt_dT_lt_0
0,True,False,False,True
1,True,True,True,True
2,True,False,True,True
3,True,True,True,True
4,True,True,True,True
5,True,True,True,True
6,True,False,False,True
7,True,False,True,True
8,True,True,True,True
9,True,True,True,True
10,True,True,True,True
11,True,False,True,True
12,True,False,True,True
13,True,True,True,True
14,True,False,False,True
15,True,False,False,True
16,True,False,False,True
17,True,True,True,True
18,True,False,False,True
19,True,True,True,True
20,True,True,True,True
21,True,False,True,True
22,True,True,True,True
23,True,True,True,True
24,True,False,False,True
25,True,True,True,True
26,True,True,True,True
27,True,True,True,True
28,True,False,True,True
29,True,False,False,True
30,True,True,True,True
31,True,False,True,True
32,True,True,True,True
33,True,False,True,True
34,True,True,True,True
35,True,True,True,True
36,True,True,True,True
37,True,True,True,True
38,True,False,True,True
39,True,True,True,True
40,True,False,False,True
41,True,False,True,True
42,True,True,True,True
43,True,True,True,True
44,True,False,False,True
45,True,False,True,True
46,True,True,True,True
47,True,True,True,True
48,True,False,True,True
49,True,True,True,True
50,True,False,True,True
51,True,True,True,True
52,True,True,True,True
53,True,True,True,True
54,True,False,True,True
55,True,True,True,True
56,True,True,True,True
57,True,False,True,True
58,True,True,True,True
59,True,True,True,True
60,True,True,True,True
61,True,True,True,True
62,True,False,True,True
63,True,True,True,True
64,True,True,True,True
65,True,True,True,True
66,True,False,True,True
67,True,True,True,True
68,True,True,True,True
69,True,False,True,True
70,True,True,True,True
71,True,True,True,True
72,True,False,True,True
73,True,False,True,True
74,True,False,False,True
75,True,False,True,True
76,True,False,True,True
77,True,False,True,True
78,True,True,True,True
79,True,True,True,True
80,True,True,True,True
81,True,False,True,True
82,True,True,True,True
83,True,False,True,True
84,True,True,True,True
85,True,False,False,True
86,True,True,True,True
87,True,True,True,True
88,True,True,True,True
89,True,True,True,True
90,True,False,True,True
91,True,False,True,True
92,True,False,False,True
93,True,False,False,True
94,True,False,True,True
95,True,False,True,True
96,True,True,True,True
97,True,False,True,True
98,True,False,True,True
99,True,False,True,True
100,True,False,True,True
101,True,False,True,True
102,True,False,True,True
103,True,False,False,True
104,True,True,True,True
105,True,True,True,True
106,True,False,True,True
107,True,True,True,True
108,True,True,True,True
109,True,False,True,True
110,True,True,True,True
111,True,True,True,True
112,True,False,True,True
113,True,True,True,True
114,True,False,True,True
115,True,True,True,True
116,True,True,True,True
117,True,False,False,True
118,True,True,True,True
119,True,True,True,True
120,True,True,True,True
121,True,True,True,True
122,True,True,True,True
123,True,False,False,True
124,True,True,True,True
125,True,False,True,True
126,True,True,True,True
127,True,False,False,True
128,True,True,True,True
129,True,False,True,True
130,True,True,True,True
131,True,False,False,True
132,True,False,False,True
133,True,True,True,True
134,True,True,True,True
135,True,False,True,True
136,True,True,True,True
137,True,True,True,True
138,True,True,True,True
139,True,True,True,True
140,True,False,True,True
141,True,False,True,True
142,True,True,True,True
143,True,True,True,True
144,True,True,True,True
145,True,True,True,True
146,True,True,True,True
147,True,False,True,True
148,True,True,True,True
149,True,True,True,True
150,True,True,True,True
151,True,True,True,True
152,True,False,True,True
153,True,True,True,True
154,True,True,True,True
155,True,True,True,True
156,True,False,True,True
157,True,True,True,True
158,True,False,True,True
159,True,False,True,True
160,True,True,True,True
161,True,False,False,True
162,True,False,True,True
163,True,False,True,True
164,True,True,True,True
165,True,True,True,True
166,True,False,False,True
167,True,False,True,True
168,True,True,True,True
169,True,True,True,True
170,True,True,True,True
171,True,False,True,True
172,True,False,True,True
173,True,False,True,True
174,True,True,True,True
175,True,False,True,True
176,True,False,False,True
177,True,False,True,True
178,True,False,True,True
179,True,True,True,True
180,True,True,True,True
181,True,False,True,True
182,True,True,True,True
183,True,True,True,True
184,True,True,True,True
185,True,False,False,True
186,True,False,True,True
187,True,False,True,True
188,True,False,True,True
189,True,False,True,True
190,True,False,True,True
191,True,False,True,True
192,True,False,False,True
193,True,True,True,True
194,True,False,True,True
195,True,False,True,True
196,True,False,True,True
197,True,True,True,True
198,True,True,True,True
199,True,True,True,True
200,True,True,True,True
201,True,True,True,True
202,True,False,False,True
203,True,False,True,True
204,True,False,True,True
205,True,True,True,True
206,True,True,True,True
207,True,True,True,True
208,True,True,True,True
209,True,False,True,True
210,True,False,True,True
211,False,False,False,False
212,True,True,True,True
213,True,True,True,True
214,True,True,True,True
215,False,False,False,False
216,True,True,True,True
217,True,False,False,True
218,True,True,True,True
219,True,True,True,True
220,True,True,True,True
221,True,False,False,True
222,True,True,True,True
223,True,True,True,True
224,True,False,True,True
225,True,True,True,True
226,True,True,True,True
227,True,True,True,True
228,True,True,True,True
229,True,False,True,True
230,True,True,True,True
231,True,False,True,True
232,True,True,True,True
233,True,True,True,True
234,True,True,True,True
235,True,False,False,True
236,True,True,True,True
237,True,True,True,True
238,True,True,True,True
239,True,True,True,True
240,True,False,True,True
241,True,True,True,True
242,True,False,True,True
243,True,True,True,True
244,True,True,True,True
245,True,False,False,True
246,True,False,True,True
247,True,True,True,True
248,True,True,True,True
249,True,False,False,True
250,True,True,True,True
251,False,False,False,False
252,True,False,False,True
253,True,False,True,True
254,True,False,True,True
255,True,True,True,True
256,True,False,False,True
257,True,False,True,True
258,True,True,True,True
259,False,False,False,False
260,True,True,True,True
261,False,False,False,False
262,True,True,True,True
263,True,True,True,True
264,True,False,False,True
265,True,False,True,True
266,True,True,True,True
267,True,False,True,True
268,True,True,True,True
269,True,True,True,True
270,True,False,False,True
271,True,False,True,True
272,True,False,False,True
273,True,True,True,True
274,True,False,True,True
275,True,True,True,True
276,True,False,False,True
277,True,True,True,True
278,True,True,True,True
279,True,True,True,True
280,True,False,True,True
281,True,True,True,True
282,True,False,False,True
283,True,True,True,True
284,True,True,True,True
285,True,True,True,True
286,True,False,True,True
287,True,False,True,True
288,True,False,True,True
289,True,False,False,True
290,True,True,True,True
291,True,False,False,True
292,True,True,True,True
293,True,False,True,True
294,True,True,True,True
295,True,True,True,True
296,True,True,True,True
297,True,False,False,True
298,True,True,True,True
299,True,True,True,True
300,True,False,False,True
301,True,False,True,True
302,True,True,True,True
303,True,False,False,True
304,True,False,True,True
305,True,False,True,True
306,True,True,True,True
307,True,True,True,True
308,True,True,True,True
309,True,False,True,True
310,True,True,True,True
311,True,False,True,True
312,True,True,True,True
313,True,True,True,True
314,False,False,False,False
315,True,True,True,True
316,True,True,True,True
317,True,False,True,True
318,True,True,True,True
319,True,True,True,True
320,True,True,True,True
321,True,False,True,True
322,True,False,True,True
323,True,False,True,True
324,True,False,True,True
325,True,True,True,True
326,True,False,True,True
327,True,False,False,True
328,True,True,True,True
329,True,True,True,True
330,True,False,True,True
331,True,True,True,True
332,True,False,True,True
333,True,True,True,True
334,True,True,True,True
335,True,True,True,True
336,True,False,True,True
337,True,False,True,True
338,True,True,True,True
339,True,False,True,True
340,True,True,True,True
341,True,False,True,True
342,True,True,True,True
343,True,False,True,True
344,True,True,True,True
345,True,True,True,True
346,True,False,True,True
347,True,True,True,True
348,True,False,True,True
349,True,True,True,True
350,True,True,True,True
351,True,True,True,True
352,True,True,True,True
353,True,True,True,True
354,True,True,True,True
355,True,False,False,True
356,True,True,True,True
357,True,False,False,True
358,True,True,True,True
359,True,False,True,True
360,True,False,False,True
361,True,True,True,True
362,True,True,True,True
363,True,False,True,True
364,True,False,False,True
365,True,True,True,True
366,True,True,True,True
367,True,True,True,True
368,True,False,True,True
369,True,True,True,True
370,True,True,True,True
371,True,False,True,True
372,True,False,True,True
373,True,False,True,True
374,True,True,True,True
375,True,True,True,True
376,True,True,True,True
377,True,True,True,True
378,True,False,True,True
379,True,True,True,True
380,True,False,False,True
381,True,True,True,True
382,True,True,True,True
383,True,True,True,True
384,True,False,False,True
385,True,True,True,True
386,True,True,True,True
387,True,False,True,True
388,True,True,True,True
389,True,True,True,True
390,True,True,True,True
391,True,False,True,True
392,True,True,True,True
393,True,True,True,True
394,True,False,True,True
395,True,False,False,True
396,True,False,True,True
397,True,False,True,True
398,True,False,True,True
399,True,False,True,True
400,True,False,True,True
401,True,False,True,True
402,True,False,False,True
403,True,True,True,True
404,True,True,True,True
405,True,False,True,True
406,True,True,True,True
407,True,False,True,True
408,True,True,True,True
409,True,True,True,True
410,True,True,True,True
411,True,True,True,True
412,True,True,True,True
413,True,True,True,True
414,True,True,True,True
415,True,True,True,True
416,True,True,True,True
417,True,False,False,True
418,True,False,False,True
419,False,False,False,False
420,True,False,False,True
421,True,True,True,True
422,True,False,True,True
423,True,True,True,True
424,True,True,True,True
425,True,True,True,True
426,True,True,True,True
427,True,True,True,True
428,True,True,True,True
429,True,False,True,True
430,True,False,True,True
431,True,True,True,True
432,True,False,True,True
433,True,True,True,True
434,True,False,True,True
435,True,False,False,True
436,True,True,True,True
437,True,False,True,True
438,True,True,True,True
439,True,True,True,True
440,True,True,True,True
441,True,True,True,True
442,True,True,True,True
443,True,True,True,True
444,True,False,True,True
445,True,False,True,True
446,True,False,False,True
447,True,False,True,True
448,True,True,True,True
449,True,True,True,True
450,True,True,True,True
451,True,False,True,True
452,True,True,True,True
453,False,False,False,False
454,True,True,True,True
455,True,True,True,True
456,True,True,True,True
457,True,False,True,True
458,True,True,True,True
459,True,True,True,True
460,True,True,True,True
461,True,False,True,True
462,True,True,True,True
463,True,False,True,True
464,True,False,True,True
465,True,False,True,True
466,True,True,True,True
467,True,False,True,True
468,True,False,True,True
469,True,False,True,True
470,True,False,True,True
471,True,True,True,True
472,True,True,True,True
473,True,False,False,True
474,True,True,True,True
475,True,False,False,True
476,True,False,False,True
477,True,False,True,True
478,True,True,True,True
479,True,True,True,True
480,True,False,True,True
481,True,False,False,True
482,True,False,True,True
483,True,True,True,True
484,True,False,True,True
485,True,True,True,True
486,True,True,True,True
487,True,False,True,True
488,True,True,True,True
489,True,True,True,True
490,True,False,False,True
491,True,False,False,True
492,True,True,True,True
493,True,False,True,True
494,True,False,True,True
495,True,True,True,True
496,True,False,True,True
497,True,True,True,True
498,True,True,True,True
499,True,False,True,True
500,True,True,True,True
501,True,True,True,True
502,True,True,True,True
503,True,True,True,True
504,True,False,True,True
505,True,True,True,True
506,False,False,False,False
507,True,False,True,True
508,True,False,False,True
509,True,True,True,True
510,True,False,False,True
511,True,True,True,True
512,True,False,True,True
513,True,True,True,True
514,False,False,False,False
515,False,False,False,False
516,True,True,True,True
517,True,False,True,True
518,True,True,True,True
519,True,False,True,True
520,True,False,True,True
521,True,False,True,True
522,True,True,True,True
523,True,True,True,True
524,True,True,True,True
525,False,False,False,False
526,True,True,True,True
527,True,True,True,True
528,True,True,True,True
529,True,True,True,True
530,True,True,True,True
531,True,True,True,True
532,True,False,True,True
533,True,True,True,True
534,True,True,True,True
535,True,True,True,True
536,True,True,True,True
537,True,False,False,True
538,True,True,True,True
539,True,True,True,True
540,True,False,False,True
541,True,False,True,True
542,True,False,True,True
543,True,True,True,True
544,True,False,True,True
545,True,True,True,True
546,True,True,True,True
547,True,True,True,True
548,True,True,True,True
549,True,True,True,True
550,True,True,True,True
551,True,True,True,True
552,True,True,True,True
553,True,True,True,True
554,True,True,True,True
555,True,False,True,True
556,True,True,True,True
557,True,True,True,True
558,True,False,False,True
559,True,True,True,True
560,True,True,True,True
561,True,True,True,True
562,True,True,True,True
563,True,False,True,True
564,True,False,True,True
565,True,True,True,True
566,True,True,True,True
567,True,True,True,True
568,True,True,True,True
569,True,False,False,True
570,True,False,True,True
571,False,False,False,False
572,True,False,True,True
573,True,True,True,True
574,True,False,True,True
575,True,False,True,True
576,True,True,True,True
577,True,True,True,True
578,True,False,True,True
579,True,True,True,True
580,True,False,True,True
581,True,True,True,True
582,True,False,False,True
583,True,False,True,True
584,True,True,True,True
585,True,True,True,True
586,True,False,True,True
587,True,True,True,True
588,True,True,True,True
589,True,True,True,True
590,True,True,True,True
591,True,True,True,True
592,True,False,True,True
593,True,False,True,True
594,True,True,True,True
595,True,True,True,True
596,True,True,True,True
597,True,False,False,True
598,True,False,True,True
599,True,True,True,True
600,True,True,True,True
601,True,True,True,True
602,True,False,True,True
603,True,False,True,True
604,True,False,False,True
605,True,False,False,True
606,True,True,True,True
607,True,False,True,True
608,True,True,True,True
609,True,True,True,True
610,False,False,False,False
611,True,True,True,True
612,True,False,True,True
613,True,False,True,True
614,True,True,True,True
615,True,True,True,True
616,True,True,True,True
617,True,True,True,True
618,True,True,True,True
619,True,True,True,True
620,True,True,True,True
621,True,False,False,True
622,True,True,True,True
623,True,True,True,True
624,True,True,True,True
625,True,False,True,True
626,True,True,True,True
627,True,True,True,True
628,True,False,True,True
629,True,True,True,True
630,True,True,True,True
631,True,True,True,True
632,True,True,True,True
633,True,False,False,True
634,True,True,True,True
635,True,True,True,True
636,True,False,True,True
637,False,False,False,False
638,True,False,False,True
639,True,True,True,True
640,True,True,True,True
641,True,True,True,True
642,True,True,True,True
643,True,False,True,True
644,True,False,False,True
645,True,True,True,True
646,True,True,True,True
647,True,False,False,True
648,True,False,True,True
649,True,False,True,True
650,True,False,True,True
651,True,False,True,True
652,True,True,True,True
653,True,False,True,True
654,True,False,False,True
655,True,False,True,True
656,True,True,True,True
657,True,True,True,True
658,False,False,False,False
659,True,False,True,True
660,True,True,True,True
661,True,True,True,True
662,True,False,True,True
663,True,True,True,True
664,True,False,True,True
665,True,False,True,True
666,True,True,True,True
667,True,True,True,True
668,True,True,True,True
669,True,True,True,True
670,True,True,True,True
671,True,True,True,True
672,True,False,False,True
673,True,True,True,True
674,True,True,True,True
675,True,True,True,True
676,True,True,True,True
677,True,False,True,True
678,True,True,True,True
